NC;NN;D1C;D1N;D2C;D2N;D3C;D3N;D4C;D4N;MC;MN;V
Nível Territorial (Código);Nível Territorial;Brasil, Unidade da Federação e Município (Código);Brasil, Unidade da Federação e Município;Variável (Código);Variável;Ano (Código);Ano;Tipo de esgotamento sanitário (Código);Tipo de esgotamento sanitário;Unidade de Medida (Código);Unidade de Medida;Valor
6;Município;2300200;Acaraú - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72111;Fossa séptica ou fossa filtro ligada à rede;1020;Unidades;146
6;Município;2300200;Acaraú - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72112;Fossa séptica ou fossa filtro não ligada à rede;1020;Unidades;5595
6;Município;2300200;Acaraú - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72113;Fossa rudimentar ou buraco;1020;Unidades;12615
6;Município;2300200;Acaraú - CE;381;Domicílios particulares permanentes ocupados;2022;2022;92858;Vala;1020;Unidades;499
6;Município;2300200;Acaraú - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72114;Rio, lago, córrego ou mar;1020;Unidades;17
6;Município;2300200;Acaraú - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72115;Outra forma;1020;Unidades;183
6;Município;2300200;Acaraú - CE;381;Domicílios particulares permanentes ocupados;2022;2022;92861;Não tinham banheiro nem sanitário;1020;Unidades;305
6;Município;2300309;Acopiara - CE;381;Domicílios particulares permanentes ocupados;2022;2022;46292;Total;1020;Unidades;16398
6;Município;2300309;Acopiara - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72110;Rede geral ou pluvial;1020;Unidades;4482
6;Município;2300309;Acopiara - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72111;Fossa séptica ou fossa filtro ligada à rede;1020;Unidades;226
6;Município;2300309;Acopiara - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72112;Fossa séptica ou fossa filtro não ligada à rede;1020;Unidades;2633
6;Município;2300309;Acopiara - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72113;Fossa rudimentar ou buraco;1020;Unidades;6878
6;Município;2300309;Acopiara - CE;381;Domicílios particulares permanentes ocupados;2022;2022;92858;Vala;1020;Unidades;874
6;Município;2300309;Acopiara - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72114;Rio, lago, córrego ou mar;1020;Unidades;172
6;Município;2300309;Acopiara - CE;381;Domicílios particulares permanentes ocupados;2022;2022;72115;Outra forma;1020;Unidades;488
